cell_id,lon,lat,hora,riesgo_dyn
1100111,-76.577436,3.452523,7,51.38
1100111,-76.577436,3.452523,8,52.03
1100111,-76.577436,3.452523,9,52.35
1100111,-76.577436,3.452523,10,52.99
1100111,-76.577436,3.452523,11,53.63
1100111,-76.577436,3.452523,12,54.6
1100111,-76.577436,3.452523,13,55.24
1100111,-76.577436,3.452523,14,55.88
1100111,-76.577436,3.452523,15,56.52
1100111,-76.577436,3.452523,16,57.81
1100111,-76.577436,3.452523,17,60.38
1100111,-76.577436,3.452523,18,62.62
1100111,-76.577436,3.452523,19,64.23
1100111,-76.577436,3.452523,20,64.23
1100111,-76.577436,3.452523,21,63.59
1100111,-76.577436,3.452523,22,61.02
1100111,-76.577436,3.452523,23,56.2
1100112,-76.577436,3.453868,0,62.54
1100112,-76.577436,3.453868,1,60.53
1100112,-76.577436,3.453868,2,58.51
1100112,-76.577436,3.453868,3,57.3
1100112,-76.577436,3.453868,4,58.51
1100112,-76.577436,3.453868,5,60.53
1100112,-76.577436,3.453868,6,62.54
1100112,-76.577436,3.453868,7,64.56
1100112,-76.577436,3.453868,8,65.37
1100112,-76.577436,3.453868,9,65.77
1100112,-76.577436,3.453868,10,66.58
1100112,-76.577436,3.453868,11,67.38
1100112,-76.577436,3.453868,12,68.59
1100112,-76.577436,3.453868,13,69.4
1100112,-76.577436,3.453868,14,70.21
1100112,-76.577436,3.453868,15,71.02
1100112,-76.577436,3.453868,16,72.63
1100112,-76.577436,3.453868,17,75.86
1100112,-76.577436,3.453868,18,78.68
1100112,-76.577436,3.453868,19,80.7
1100112,-76.577436,3.453868,20,80.7
1100112,-76.577436,3.453868,21,79.89
1100112,-76.577436,3.453868,22,76.66
1100112,-76.577436,3.453868,23,70.61
1100113,-76.577436,3.455213,0,60.03
1100113,-76.577436,3.455213,1,58.09
1100113,-76.577436,3.455213,2,56.16
1100113,-76.577436,3.455213,3,55.0
1100113,-76.577436,3.455213,4,56.16
1100113,-76.577436,3.455213,5,58.09
1100113,-76.577436,3.455213,6,60.03
1100113,-76.577436,3.455213,7,61.97
1100113,-76.577436,3.455213,8,62.74
1100113,-76.577436,3.455213,9,63.13
1100113,-76.577436,3.455213,10,63.9
1100113,-76.577436,3.455213,11,64.68
1100113,-76.577436,3.455213,12,65.84
1100113,-76.577436,3.455213,13,66.62
1100113,-76.577436,3.455213,14,67.39
1100113,-76.577436,3.455213,15,68.16
1100113,-76.577436,3.455213,16,69.71
1100113,-76.577436,3.455213,17,72.81
1100113,-76.577436,3.455213,18,75.52
1100113,-76.577436,3.455213,19,77.46
1100113,-76.577436,3.455213,20,77.46
1100113,-76.577436,3.455213,21,76.69
1100113,-76.577436,3.455213,22,73.59
1100113,-76.577436,3.455213,23,67.78
1100114,-76.577436,3.456558,0,65.74
1100114,-76.577436,3.456558,1,63.62
1100114,-76.577436,3.456558,2,61.5
1100114,-76.577436,3.456558,3,60.23
1100114,-76.577436,3.456558,4,61.5
1100114,-76.577436,3.456558,5,63.62
1100114,-76.577436,3.456558,6,65.74
1100114,-76.577436,3.456558,7,67.86
1100114,-76.577436,3.456558,8,68.71
1100114,-76.577436,3.456558,9,69.14
1100114,-76.577436,3.456558,10,69.98
1100114,-76.577436,3.456558,11,70.83
1100114,-76.577436,3.456558,12,72.11
1100114,-76.577436,3.456558,13,72.95
1100114,-76.577436,3.456558,14,73.8
1100114,-76.577436,3.456558,15,74.65
